year,category,full_name,show,won
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,JAMIE FOXX,JUST MERCY,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,TOM HANKS,A BEAUTIFUL DAY IN THE NEIGHBORHOOD,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,AL PACINO,THE IRISHMAN,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,JOE PESCI,THE IRISHMAN,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A SUPPORTING ROLE,BRAD PITT,ONCE UPON A TIME...IN HOLLYWOOD,True
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A DRAMA SERIES,,BIG LITTLE LIES,False
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A DRAMA SERIES,,THE CROWN,True
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A DRAMA SERIES,,GAME OF THRONES,False
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A DRAMA SERIES,,THE HANDMAID'S TALE,False
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A DRAMA SERIES,,STRANGER THINGS,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,JENNIFER ANISTON,THE MORNING SHOW,True
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,HELENA BONHAM CARTER,THE CROWN,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,OLIVIA COLMAN,THE CROWN,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,JODIE COMER,KILLING EVE,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A DRAMA SERIES,ELISABETH MOSS,THE HANDMAID'S TALE,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,STERLING K. BROWN,THIS IS US,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,STEVE CARELL,THE MORNING SHOW,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,BILLY CRUDUP,THE MORNING SHOW,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,PETER DINKLAGE,GAME OF THRONES,True
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A DRAMA SERIES,DAVID HARBOUR,STRANGER THINGS,False
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A COMEDY SERIES,,BARRY,False
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A COMEDY SERIES,,FLEABAG,False
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A COMEDY SERIES,,THE KOMINSKY METHOD,False
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A COMEDY SERIES,,THE MARVELOUS MRS. MAISEL,True
2020 - 26th Annual Screen Actors Guild Awards, ENSEMBLE IN A COMEDY SERIES,,SCHITT'S CREEK,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,CHRISTINA APPLEGATE,DEAD TO ME,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,ALEX BORSTEIN,THE MARVELOUS MRS. MAISEL,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,RACHEL BROSNAHAN,THE MARVELOUS MRS. MAISEL,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,CATHERINE O'HARA,SCHITT'S CREEK,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A COMEDY SERIES,PHOEBE WALLER-BRIDGE,FLEABAG,True
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,ALAN ARKIN,THE KOMINSKY METHOD,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,MICHAEL DOUGLAS,THE KOMINSKY METHOD,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,BILL HADER,BARRY,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,ANDREW SCOTT,FLEABAG,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A COMEDY SERIES,TONY SHALHOUB,THE MARVELOUS MRS. MAISEL,True
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,PATRICIA ARQUETTE,THE ACT,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,TONI COLLETTE,UNBELIEVEABLE,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,JOEY KING,THE ACT,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,EMILY WATSON,CHERNOBYL,False
2020 - 26th Annual Screen Actors Guild Awards, FEMALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,MICHELLE WILLIAMS,FOSSE/VERDON,True
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,MAHERSHALA ALI,TRUE DETECTIVE,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,RUSSELL CROWE,THE LOUDEST VOICE,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,JARED HARRIS,CHERNOBYL,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,JHARREL JEROME,WHEN THEY SEE US,False
2020 - 26th Annual Screen Actors Guild Awards, MALE ACTOR IN A TELEVISION MOVIE OR LIMITED SERIES,SAM ROCKWELL,FOSSE/VERDON,True
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A MOTION PICTURE,,AVENGERS: ENDGAME,True
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A MOTION PICTURE,,FORD V FERRARI,False
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A MOTION PICTURE,,THE IRISHMAN,False
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A MOTION PICTURE,,JOKER,False
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A MOTION PICTURE,,ONCE UPON A TIME...IN HOLLYWOOD,False
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A COMEDY OR DRAMA SERIES,,GAME OF THRONES,True
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A COMEDY OR DRAMA SERIES,,GLOW,False
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A COMEDY OR DRAMA SERIES,,STRANGER THINGS,False
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A COMEDY OR DRAMA SERIES,,THE WALKING DEAD,False
2020 - 26th Annual Screen Actors Guild Awards, STUNT ENSEMBLE IN A COMEDY OR DRAMA SERIES,,WATCHMEN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,,A STAR IS BORN ,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,ANDREW DICE CLAY,A STAR IS BORN ,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,ANTHONY RAMOS,A STAR IS BORN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,BRADLEY COOPER,A STAR IS BORN ,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,DAVE CHAPPELLE,A STAR IS BORN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,LADY GAGA,A STAR IS BORN ,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,RAFI GAVRON,A STAR IS BORN ,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,SAM ELLIOTT,A STAR IS BORN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,ANDY SERKIS ,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,ANGELA BASSETT,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,CHADWICK BOSEMAN,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,DANAI GURIRA,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,DANIEL KALUUYA,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,FOREST  WHITAKER,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,LETITIA WRIGHT,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,LUPITA NYONG’O,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,MARTIN FREEMAN,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,MICHAEL B. JORDAN,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,STERLING K. BROWN,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,WINSTON DUKE,BLACK PANTHER,True
2019 - 25th Annual,CAST IN A MOTION PICTURE,,BLACKKKLANSMAN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,ADAM DRIVER,BLACKKKLANSMAN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,COREY HAWKINS,BLACKKKLANSMAN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,HARRY BELAFONTE,BLACKKKLANSMAN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,JOHN DAVID WASHINGTON,BLACKKKLANSMAN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,LAURA HARRIER,BLACKKKLANSMAN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,TOPHER GRACE,BLACKKKLANSMAN,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,,BOHEMIAN RHAPSODY ,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,AIDAN GILLEN,BOHEMIAN RHAPSODY ,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,ALLEN LEECH,BOHEMIAN RHAPSODY,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,BEN HARDY,BOHEMIAN RHAPSODY,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,GWILYM LEE,BOHEMIAN RHAPSODY,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,JOE MAZZELLO,BOHEMIAN RHAPSODY,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,LUCY BOYNTON,BOHEMIAN RHAPSODY,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,MIKE MYERS,BOHEMIAN RHAPSODY,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,RAMI MALEK,BOHEMIAN RHAPSODY,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,TOM HOLLANDER,BOHEMIAN RHAPSODY,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,,CRAZY RICH ASIANS,False
2019 - 25th Annual,CAST IN A MOTION PICTURE, AWKWAFINA,CRAZY RICH ASIANS,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,CONSTANCE WU,CRAZY RICH ASIANS,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,GEMMA CHAN,CRAZY RICH ASIANS,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,HENRY GOLDING,CRAZY RICH ASIANS,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,KEN JEONG,CRAZY RICH ASIANS,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,LISA LU,CRAZY RICH ASIANS,False
2019 - 25th Annual,CAST IN A MOTION PICTURE,MICHELLE YEOH,CRAZY RICH ASIANS,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,,ATLANTA,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BRIAN TYREE HENRY,ATLANTA,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,DONALD GLOVER,ATLANTA,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KHRIS DAVIS,ATLANTA,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,LAKEITH STANFIELD,ATLANTA,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ALEJANDRO FURTH,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ANDY CAREY,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ANTHONY CARRIGAN,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BILL HADER,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,D'ARCY CARDEN,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,DARRELL BRITT-GIBSON,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,GLENN FLESHLER,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,HENRY WINKLER ,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,JOHN PIRRUCCELLO,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KIRBY HOWELL-BAPTISTE,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,PAULA NEWSOME,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,RIGHTOR DOYLE,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SARAH GOLDBERG,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,STEPHEN ROOT,BARRY,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ALISON BRIE,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BASHIR SALAHUDDIN,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BETTY GILPIN,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BRITNEY YOUNG,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BRITT BARON,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,CHRIS LOWELL,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ELLEN WONG,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,GAYLE RANKIN,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,JACKIE TOHN,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KATE NASH,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KIA STEVENS,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KIMMY GATEWOOD,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,MARC MARON,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,REBEKKA JOHNSON,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SHAKIRA BARRERA,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SUNITA MANI,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SYDELLE NOEL,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,VICTOR QUINAZ,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,WYATT NASH,GLOW,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,,THE KOMINSKY METHOD ,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ALAN ARKIN,THE KOMINSKY METHOD ,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ASHLEIGH LaTHROP,THE KOMINSKY METHOD,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,CASEY THOMAS BROWN,THE KOMINSKY METHOD,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,EMILY OSMENT,THE KOMINSKY METHOD,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,GRAHAM ROGERS,THE KOMINSKY METHOD,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,JENNA LYNG ADAMS,THE KOMINSKY METHOD ,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,MELISSA TANG,THE KOMINSKY METHOD,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,MICHAEL  DOUGLAS,THE KOMINSKY METHOD,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,NANCY TRAVIS,THE KOMINSKY METHOD,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SARAH BAKER,THE KOMINSKY METHOD,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,SUSAN SULLIVAN,THE KOMINSKY METHOD,False
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,,THE MARVELOUS MRS. MAISEL,True
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ALEX BORSTEIN,THE MARVELOUS MRS. MAISEL,True
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,BRIAN TARANTINA,THE MARVELOUS MRS. MAISEL,True
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,CAROLINE AARON,THE MARVELOUS MRS. MAISEL,True
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,KEVIN POLLAK,THE MARVELOUS MRS. MAISEL,True
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,MARIN HINKLE,THE MARVELOUS MRS. MAISEL,True
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,MICHAEL ZEGEN,THE MARVELOUS MRS. MAISEL,True
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,RACHEL BROSNAHAN,THE MARVELOUS MRS. MAISEL,True
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,TONY SHALHOUB,THE MARVELOUS MRS. MAISEL,True
2019 - 25th Annual,ENSEMBLE IN A COMEDY SERIES,ZACHARY LEVI,THE MARVELOUS MRS. MAISEL,True
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,,BETTER CALL SAUL,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,BOB ODENKIRK ,BETTER CALL SAUL,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,GIANCARLO ESPOSITO,BETTER CALL SAUL,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JONATHAN BANKS,BETTER CALL SAUL,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MICHAEL MANDO,BETTER CALL SAUL,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,RAINER BOCK,BETTER CALL SAUL,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,RAY CAMPBELL,BETTER CALL SAUL,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,RHEA SEEHORN,BETTER CALL SAUL,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,CARSON HOLMES,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,CHARLIE TAHAN,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,DARREN GOLDSTEIN,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,HARRIS YULIN,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JANET MCTEER,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JASON BATEMAN ,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JASON BUTLER,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JORDANA SPIRO,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JULIA GARNER,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,LAURA LINNEY,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,LISA EMERY,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,PETER MULLAN,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ROBERT TREVEILER,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,SKYLAR GAERTNER,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,SOFIA HUBLITZ,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,TREVOR LONG,OZARK,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ANTHONY ARKIN,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,BRANDON J. DIRDEN,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,COSTA RONIN,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,HOLLY TAYLOR,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,KEIDRICH SELLATI,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,KERI RUSSELL,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,LAURIE HOLDEN,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MARGO MARTINDALE,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MATTHEW RHYS,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MIRIAM SHOR,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,NOAH EMMERICH,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,SCOTT COHEN,THE AMERICANS,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ALEXIS BLEDEL,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,AMANDA BRUGEL,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ANN DOWD,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,BAHIA WATSON,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ELISABETH MOSS,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JOSEPH FIENNES,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MADELINE BREWER,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,MAX MINGHELLA,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,NINA KIRI,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,O-T FAGBENLE,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,SYDNEY SWEENEY,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,YVONNE STRAHOVSKI,THE HANDMAID'S TALE,False
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,,THIS IS US,True
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,CHRIS SULLIVAN,THIS IS US,True
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,CHRISSY METZ,THIS IS US,True
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,ERIS BAKER,THIS IS US,True
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,FAITHE HERMAN ,THIS IS US,True
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,HANNAH ZEILE,THIS IS US,True
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JON HUERTAS,THIS IS US,True
2019 - 25th Annual,ENSEMBLE IN A DRAMA SERIES,JUSTIN HARTLEY,THIS IS US,True
