,year_ceremony,category,film,name,cca
128,2008,Best Picture,Milk,Gus Van Sant,Nominee
129,2008,Best Picture,The Reader,Stephen Daldry,Nominee
130,2008,Best Picture,WALL-E,Andrew Stanton,Nominee
131,2008,Best Picture,The Wrestler,Darren Aronofsky,Nominee
132,2009,Best Picture,The Hurt Locker,Kathryn Bigelow,Winner
133,2009,Best Picture,Avatar,James Cameron,Nominee
134,2009,Best Picture,An Education,Lone Scherfig,Nominee
135,2009,Best Picture,Inglourious Basterds,Quentin Tarantino,Nominee
136,2009,Best Picture,Invictus,Clint Eastwood,Nominee
137,2009,Best Picture,Nine,Rob Marshall,Nominee
138,2009,Best Picture,Precious,Lee Daniels,Nominee
139,2009,Best Picture,A Serious Man,Joel Coen and Ethan Coen,Nominee
140,2009,Best Picture,Up,Pete Docter,Nominee
141,2009,Best Picture,Up in the Air,Jason Reitman,Nominee
142,2010,Best Picture,The Social Network,David Fincher,Winner
143,2010,Best Picture,127 Hours,Danny Boyle,Nominee
144,2010,Best Picture,Black Swan,Darren Aronofsky,Nominee
145,2010,Best Picture,The Fighter,David O. Russell,Nominee
146,2010,Best Picture,Inception,Christopher Nolan,Nominee
147,2010,Best Picture,The King's Speech,Tom Hooper,Nominee
148,2010,Best Picture,The Town,Ben Affleck,Nominee
149,2010,Best Picture,Toy Story 3,Lee Unkrich,Nominee
150,2010,Best Picture,True Grit,Joel Coen and Ethan Coen,Nominee
151,2010,Best Picture,Winter's Bone,Debra Granik,Nominee
152,2011,Best Picture,The Artist,Michel Hazanavicius,Winner
153,2011,Best Picture,The Descendants,Alexander Payne,Nominee
154,2011,Best Picture,Drive,Nicolas Winding Refn,Nominee
155,2011,Best Picture,Extremely Loud & Incredibly Close,Stephen Daldry,Nominee
156,2011,Best Picture,The Help,Tate Taylor,Nominee
157,2011,Best Picture,Hugo,Martin Scorsese,Nominee
158,2011,Best Picture,Midnight in Paris,Woody Allen,Nominee
159,2011,Best Picture,Moneyball,Bennett Miller,Nominee
160,2011,Best Picture,The Tree of Life,Terrence Malick,Nominee
161,2011,Best Picture,War Horse,Steven Spielberg,Nominee
162,2012,Best Picture,Argo,Ben Affleck,Winner
163,2012,Best Picture,Beasts of the Southern Wild,Benh Zeitlin,Nominee
164,2012,Best Picture,Django Unchained,Quentin Tarantino,Nominee
165,2012,Best Picture,Les Misérables,Tom Hooper,Nominee
166,2012,Best Picture,Life of Pi,Ang Lee,Nominee
167,2012,Best Picture,Lincoln,Steven Spielberg,Nominee
168,2012,Best Picture,The Master,Paul Thomas Anderson,Nominee
169,2012,Best Picture,Moonrise Kingdom,Wes Anderson,Nominee
170,2012,Best Picture,Silver Linings Playbook,David O. Russell,Nominee
171,2012,Best Picture,Zero Dark Thirty,Kathryn Bigelow,Nominee
172,2013,Best Picture,12 Years a Slave,Steve McQueen,Winner
173,2013,Best Picture,American Hustle,David O. Russell,Nominee
174,2013,Best Picture,Captain Phillips,Paul Greengrass,Nominee
175,2013,Best Picture,Dallas Buyers Club,Jean-Marc Vallée,Nominee
176,2013,Best Picture,Gravity,Alfonso Cuarón,Nominee
177,2013,Best Picture,Her,Spike Jonze,Nominee
178,2013,Best Picture,Inside Llewyn Davis,Joel Coen and Ethan Coen,Nominee
179,2013,Best Picture,Nebraska,Alexander Payne,Nominee
180,2013,Best Picture,Saving Mr. Banks,John Lee Hancock,Nominee
181,2013,Best Picture,The Wolf of Wall Street,Martin Scorsese,Nominee
182,2014,Best Picture,Boyhood,Richard Linklater,Winner
183,2014,Best Picture,Birdman,Alejandro G. Iñárritu,Nominee
184,2014,Best Picture,Gone Girl,David Fincher,Nominee
185,2014,Best Picture,The Grand Budapest Hotel,Wes Anderson,Nominee
186,2014,Best Picture,The Imitation Game,Morten Tyldum,Nominee
187,2014,Best Picture,Nightcrawler,Dan Gilroy,Nominee
188,2014,Best Picture,Selma,Ava DuVernay,Nominee
189,2014,Best Picture,The Theory of Everything,James Marsh,Nominee
190,2014,Best Picture,Unbroken,Angelina Jolie,Nominee
191,2014,Best Picture,Whiplash,Damien Chazelle,Nominee
192,2015,Best Picture,Spotlight,Tom McCarthy,Winner
193,2015,Best Picture,The Big Short,Adam McKay,Nominee
194,2015,Best Picture,Bridge of Spies,Steve Spielberg,Nominee
195,2015,Best Picture,Brooklyn,John Crowley,Nominee
196,2015,Best Picture,Carol,Todd Haynes,Nominee
197,2015,Best Picture,Mad Max: Fury Road,George Miller,Nominee
198,2015,Best Picture,The Martian,Ridley Scott,Nominee
199,2015,Best Picture,The Revenant,Alejandro G. Iñárritu,Nominee
200,2015,Best Picture,Room,Lenny Abrahamson,Nominee
201,2015,Best Picture,Sicario,Denis Villeneuve,Nominee
202,2015,Best Picture,Star Wars: The Force Awakens,J. J. Abrams,Nominee
203,2016,Best Picture,La La Land,Damien Chazelle,Winner
204,2016,Best Picture,Arrival,Denis Villeneuve,Nominee
205,2016,Best Picture,Fences,Denzel Washington,Nominee
206,2016,Best Picture,Hacksaw Ridge,Mel Gibson,Nominee
207,2016,Best Picture,Hell or High Water,David Mackenzie,Nominee
208,2016,Best Picture,Lion,Garth Davis,Nominee
209,2016,Best Picture,Loving,Jeff Nichols,Nominee
210,2016,Best Picture,Manchester by the Sea,Kenneth Lonergan,Nominee
211,2016,Best Picture,Moonlight,Barry Jenkins,Nominee
212,2016,Best Picture,Sully,Clint Eastwood,Nominee
213,2017,Best Picture,The Shape of Water,Guillermo del Toro,Winner
214,2017,Best Picture,The Big Sick,Michael Showalter,Nominee
215,2017,Best Picture,Call Me by Your Name,Luca Guadagnino,Nominee
216,2017,Best Picture,Darkest Hour,Joe Wright,Nominee
217,2017,Best Picture,Dunkirk,Christopher Nolan,Nominee
218,2017,Best Picture,The Florida Project,Sean Baker,Nominee
219,2017,Best Picture,Get Out,Jordan Peele,Nominee
220,2017,Best Picture,Lady Bird,Greta Gerwig,Nominee
221,2017,Best Picture,The Post,Steven Spielberg,Nominee
222,2017,Best Picture,"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,Nominee
223,2018,Best Picture,Roma,Alfonso Cuarón,Winner
224,2018,Best Picture,BlacKkKlansman,Spike Lee,Nominee
225,2018,Best Picture,Black Panther,Ryan Coogler,Nominee
226,2018,Best Picture,The Favourite,Yorgos Lanthimos,Nominee
227,2018,Best Picture,First Man,Damien Chazelle,Nominee
228,2018,Best Picture,Green Book,Peter Farrelly,Nominee
229,2018,Best Picture,If Beale Street Could Talk,Barry Jenkins,Nominee
230,2018,Best Picture,Mary Poppins Returns,Rob Marshall,Nominee
231,2018,Best Picture,A Star Is Born,Bradley Cooper,Nominee
232,2018,Best Picture,Vice,Adam McKay,Nominee
233,2019,Best Picture,Once Upon a Time in Hollywood,Quentin Tarantino,Winner
234,2019,Best Picture,1917,Sam Mendes,Nominee
235,2019,Best Picture,Ford v Ferrari,James Mangold,Nominee
236,2019,Best Picture,The Irishman,Martin Scorsese,Nominee
237,2019,Best Picture,Jojo Rabbit,Taika Waititi,Nominee
238,2019,Best Picture,Joker,Todd Phillips,Nominee
239,2019,Best Picture,Little Women,Greta Gerwig,Nominee
240,2019,Best Picture,Marriage Story,Noah Baumbach,Nominee
241,2019,Best Picture,Parasite,Bong Joon-ho,Nominee
242,2019,Best Picture,Uncut Gems,Josh Safdie and Benny Safdie,Nominee
243,2020,Best Picture,Nomadland,Chloé Zhao,Winner
244,2020,Best Picture,Da 5 Bloods,Spike Lee,Nominee
245,2020,Best Picture,Ma Rainey's Black Bottom,George C. Wolfe,Nominee
246,2020,Best Picture,Mank,David Fincher,Nominee
247,2020,Best Picture,Minari,Lee Isaac Chung,Nominee
248,2020,Best Picture,News of the World,Paul Greengrass,Nominee
249,2020,Best Picture,One Night in Miami...,Regina King,Nominee
250,2020,Best Picture,Promising Young Woman,Emerald Fennell,Nominee
251,2020,Best Picture,Sound of Metal,Darius Marder,Nominee
252,2020,Best Picture,The Trial of the Chicago 7,Aaron Sorkin,Nominee
253,2021,Best Picture,The Power of the Dog,Jane Campion,Winner
254,2021,Best Picture,Belfast,Kenneth Branagh,Nominee
255,2021,Best Picture,CODA,Sian Heder,Nominee
256,2021,Best Picture,Don't Look Up,Adam McKay,Nominee
257,2021,Best Picture,Dune,Denis Villeneuve,Nominee
258,2021,Best Picture,King Richard,Reinaldo Marcus Green,Nominee
259,2021,Best Picture,Licorice Pizza,Paul Thomas Anderson,Nominee
260,2021,Best Picture,Nightmare Alley,Guillermo del Toro,Nominee
261,2021,Best Picture,"tick, tick... BOOM!",Lin-Manuel Miranda,Nominee
262,2021,Best Picture,West Side Story,Steven Spielberg,Nominee
263,2022,Best Picture,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert,Winner
264,2022,Best Picture,Avatar: The Way of Water,James Cameron,Nominee
265,2022,Best Picture,Babylon,Damien Chazelle,Nominee
266,2022,Best Picture,The Banshees of Inisherin,Martin McDonagh,Nominee
267,2022,Best Picture,Elvis,Baz Luhrmann,Nominee
268,2022,Best Picture,The Fabelmans,Steven Spielberg,Nominee
269,2022,Best Picture,Glass Onion: A Knives Out Mystery,Rian Johnson,Nominee
270,2022,Best Picture,RRR,S. S. Rajamouli,Nominee
271,2022,Best Picture,Tár,Todd Field,Nominee
272,2022,Best Picture,Top Gun: Maverick,Joseph Kosinski,Nominee
273,2022,Best Picture,Women Talking,Sarah Polley,Nominee
0,1995,Actor In A Leading Role,Murder in the First,Kevin Bacon,Winner
1,1996,Actor In A Leading Role,Shine,Geoffrey Rush,Winner
2,1997,Actor In A Leading Role,As Good as It Gets,Jack Nicholson,Winner
3,1998,Actor In A Leading Role,Gods and Monsters,Ian McKellen,Winner
4,1999,Actor In A Leading Role,The Insider,Russell Crowe,Winner
5,2000,Actor In A Leading Role,Gladiator,Russell Crowe,Winner
6,2001,Actor In A Leading Role,A Beautiful Mind,Russell Crowe,Winner
7,2001,Actor In A Leading Role,I Am Sam,Sean Penn,Nominee
8,2001,Actor In A Leading Role,Ali,Will Smith,Nominee
9,2002,Actor In A Leading Role,Gangs of New York,Daniel Day-Lewis ,Winner
10,2002,Actor In A Leading Role,About Schmidt,Jack Nicholson ,Winner
11,2002,Actor In A Leading Role,One Hour Photo,Robin Williams,Nominee
12,2003,Actor In A Leading Role,Mystic River,Sean Penn,Winner
13,2003,Actor In A Leading Role,Master and Commander: The Far Side of the World,Russell Crowe,Nominee
14,2003,Actor In A Leading Role,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Nominee
15,2003,Actor In A Leading Role,House of Sand and Fog,Ben Kingsley,Nominee
16,2003,Actor In A Leading Role,Lost in Translation,Bill Murray,Nominee
17,2004,Actor In A Leading Role,Ray,Jamie Foxx,Winner
18,2004,Actor In A Leading Role,The Sea Inside,Javier Bardem,Nominee
19,2004,Actor In A Leading Role,Hotel Rwanda,Don Cheadle,Nominee
20,2004,Actor In A Leading Role,Finding Neverland,Johnny Depp,Nominee
21,2004,Actor In A Leading Role,The Aviator,Leonardo DiCaprio,Nominee
22,2004,Actor In A Leading Role,Sideways,Paul Giamatti,Nominee
23,2005,Actor In A Leading Role,Capote,Philip Seymour Hoffman,Winner
24,2005,Actor In A Leading Role,Cinderella Man,Russell Crowe,Nominee
25,2005,Actor In A Leading Role,Hustle & Flow,Terrence Howard,Nominee
26,2005,Actor In A Leading Role,Brokeback Mountain,Heath Ledger,Nominee
27,2005,Actor In A Leading Role,Walk the Line,Joaquin Phoenix,Nominee
28,2005,Actor In A Leading Role,"Good Night, and Good Luck",David Strathairn,Nominee
29,2006,Actor In A Leading Role,The Last King of Scotland,Forest Whitaker,Winner
30,2006,Actor In A Leading Role,Blood Diamond,Leonardo DiCaprio,Nominee
31,2006,Actor In A Leading Role,The Departed,Leonardo DiCaprio,Nominee
32,2006,Actor In A Leading Role,Half Nelson,Ryan Gosling,Nominee
33,2006,Actor In A Leading Role,Venus,Peter O'Toole,Nominee
34,2006,Actor In A Leading Role,The Pursuit of Happyness,Will Smith,Nominee
35,2007,Actor In A Leading Role,There Will Be Blood,Daniel Day-Lewis,Winner
36,2007,Actor In A Leading Role,Michael Clayton,George Clooney,Nominee
37,2007,Actor In A Leading Role,Sweeney Todd: The Demon Barber of Fleet Street,Johnny Depp,Nominee
38,2007,Actor In A Leading Role,Lars and the Real Girl,Ryan Gosling,Nominee
39,2007,Actor In A Leading Role,Into the Wild,Emile Hirsch,Nominee
40,2007,Actor In A Leading Role,Eastern Promises,Viggo Mortensen,Nominee
41,2008,Actor In A Leading Role,Milk,Sean Penn,Winner
42,2008,Actor In A Leading Role,Gran Torino,Clint Eastwood,Nominee
43,2008,Actor In A Leading Role,The Visitor,Richard Jenkins,Nominee
44,2008,Actor In A Leading Role,Frost/Nixon,Frank Langella,Nominee
45,2008,Actor In A Leading Role,The Curious Case of Benjamin Button,Brad Pitt,Nominee
46,2008,Actor In A Leading Role,The Wrestler,Mickey Rourke,Nominee
47,2009,Actor In A Leading Role,Crazy Heart,Jeff Bridges,Winner
48,2009,Actor In A Leading Role,Up in the Air,George Clooney,Nominee
49,2009,Actor In A Leading Role,A Single Man,Colin Firth,Nominee
50,2009,Actor In A Leading Role,Invictus,Morgan Freeman,Nominee
51,2009,Actor In A Leading Role,The Road,Viggo Mortensen,Nominee
52,2009,Actor In A Leading Role,The Hurt Locker,Jeremy Renner,Nominee
53,2010,Actor In A Leading Role,The King's Speech,Colin Firth,Winner
54,2010,Actor In A Leading Role,True Grit,Jeff Bridges,Nominee
55,2010,Actor In A Leading Role,Get Low,Robert Duvall,Nominee
56,2010,Actor In A Leading Role,The Social Network,Jesse Eisenberg,Nominee
57,2010,Actor In A Leading Role,127 Hours,James Franco,Nominee
58,2010,Actor In A Leading Role,Blue Valentine,Ryan Gosling,Nominee
59,2011,Actor In A Leading Role,The Descendants,George Clooney,Winner
60,2011,Actor In A Leading Role,J. Edgar,Leonardo DiCaprio,Nominee
61,2011,Actor In A Leading Role,The Artist,Jean Dujardin,Nominee
62,2011,Actor In A Leading Role,Shame,Michael Fassbender,Nominee
63,2011,Actor In A Leading Role,Drive,Ryan Gosling,Nominee
64,2011,Actor In A Leading Role,Moneyball,Brad Pitt,Nominee
65,2012,Actor In A Leading Role,Lincoln,Daniel Day-Lewis,Winner
66,2012,Actor In A Leading Role,Silver Linings Playbook,Bradley Cooper,Nominee
67,2012,Actor In A Leading Role,The Sessions,John Hawkes,Nominee
68,2012,Actor In A Leading Role,Les Misérables,Hugh Jackman,Nominee
69,2012,Actor In A Leading Role,The Master,Joaquin Phoenix,Nominee
70,2012,Actor In A Leading Role,Flight,Denzel Washington,Nominee
71,2013,Actor In A Leading Role,Dallas Buyers Club,Matthew McConaughey,Winner
72,2013,Actor In A Leading Role,American Hustle,Christian Bale,Nominee
73,2013,Actor In A Leading Role,Nebraska,Bruce Dern,Nominee
74,2013,Actor In A Leading Role,12 Years a Slave,Chiwetel Ejiofor,Nominee
75,2013,Actor In A Leading Role,Captain Phillips,Tom Hanks,Nominee
76,2013,Actor In A Leading Role,All Is Lost,Robert Redford,Nominee
77,2014,Actor In A Leading Role,Birdman,Michael Keaton,Winner
78,2014,Actor In A Leading Role,The Imitation Game,Benedict Cumberbatch,Nominee
79,2014,Actor In A Leading Role,The Grand Budapest Hotel,Ralph Fiennes,Nominee
80,2014,Actor In A Leading Role,Nightcrawler,Jake Gyllenhaal,Nominee
81,2014,Actor In A Leading Role,Selma,David Oyelowo,Nominee
82,2014,Actor In A Leading Role,The Theory of Everything,Eddie Redmayne,Nominee
83,2015,Actor In A Leading Role,The Revenant,Leonardo DiCaprio,Winner
84,2015,Actor In A Leading Role,Trumbo,Bryan Cranston,Nominee
85,2015,Actor In A Leading Role,The Martian,Matt Damon,Nominee
86,2015,Actor In A Leading Role,Black Mass,Johnny Depp,Nominee
87,2015,Actor In A Leading Role,Steve Jobs,Michael Fassbender,Nominee
88,2015,Actor In A Leading Role,The Danish Girl,Eddie Redmayne,Nominee
89,2016,Actor In A Leading Role,Manchester by the Sea,Casey Affleck,Winner
90,2016,Actor In A Leading Role,Loving,Joel Edgerton,Nominee
91,2016,Actor In A Leading Role,Hacksaw Ridge,Andrew Garfield,Nominee
92,2016,Actor In A Leading Role,La La Land,Ryan Gosling,Nominee
93,2016,Actor In A Leading Role,Sully,Tom Hanks,Nominee
94,2016,Actor In A Leading Role,Fences,Denzel Washington,Nominee
95,2017,Actor In A Leading Role,Darkest Hour,Gary Oldman,Winner
96,2017,Actor In A Leading Role,Call Me by Your Name,Timothée Chalamet,Nominee
97,2017,Actor In A Leading Role,Phantom Thread,Daniel Day-Lewis,Nominee
98,2017,Actor In A Leading Role,The Disaster Artist,James Franco,Nominee
99,2017,Actor In A Leading Role,Stronger,Jake Gyllenhaal,Nominee
100,2017,Actor In A Leading Role,The Post,Tom Hanks,Nominee
101,2017,Actor In A Leading Role,Get Out,Daniel Kaluuya,Nominee
102,2018,Actor In A Leading Role,Vice,Christian Bale,Winner
103,2018,Actor In A Leading Role,A Star Is Born,Bradley Cooper,Nominee
104,2018,Actor In A Leading Role,At Eternity's Gate,Willem Dafoe,Nominee
105,2018,Actor In A Leading Role,First Man,Ryan Gosling,Nominee
106,2018,Actor In A Leading Role,First Reformed,Ethan Hawke,Nominee
107,2018,Actor In A Leading Role,Bohemian Rhapsody,Rami Malek,Nominee
108,2018,Actor In A Leading Role,Green Book,Viggo Mortensen,Nominee
109,2019,Actor In A Leading Role,Joker,Joaquin Phoenix,Winner
110,2019,Actor In A Leading Role,Pain and Glory,Antonio Banderas,Nominee
111,2019,Actor In A Leading Role,The Irishman,Robert De Niro,Nominee
112,2019,Actor In A Leading Role,Once Upon a Time in Hollywood,Leonardo DiCaprio,Nominee
113,2019,Actor In A Leading Role,Marriage Story,Adam Driver,Nominee
114,2019,Actor In A Leading Role,Dolemite Is My Name,Eddie Murphy,Nominee
115,2019,Actor In A Leading Role,Uncut Gems,Adam Sandler,Nominee
116,2020,Actor In A Leading Role,Ma Rainey's Black Bottom,Chadwick Boseman,Winner
117,2020,Actor In A Leading Role,The Way Back,Ben Affleck,Nominee
118,2020,Actor In A Leading Role,Sound of Metal,Riz Ahmed,Nominee
119,2020,Actor In A Leading Role,News of the World,Tom Hanks,Nominee
120,2020,Actor In A Leading Role,The Father,Anthony Hopkins,Nominee
121,2020,Actor In A Leading Role,Da 5 Bloods,Delroy Lindo,Nominee
122,2020,Actor In A Leading Role,Mank,Gary Oldman,Nominee
123,2020,Actor In A Leading Role,Minari,Steven Yeun,Nominee
124,2021,Actor In A Leading Role,King Richard,Will Smith,Winner
125,2021,Actor In A Leading Role,Pig,Nicolas Cage,Nominee
126,2021,Actor In A Leading Role,The Power of the Dog,Benedict Cumberbatch,Nominee
127,2021,Actor In A Leading Role,Cyrano,Peter Dinklage,Nominee
128,2021,Actor In A Leading Role,"tick, tick... BOOM!",Andrew Garfield,Nominee
129,2021,Actor In A Leading Role,The Tragedy of Macbeth,Denzel Washington,Nominee
130,2022,Actor In A Leading Role,The Whale,Brendan Fraser,Winner
131,2022,Actor In A Leading Role,Elvis,Austin Butler,Nominee
132,2022,Actor In A Leading Role,Top Gun: Maverick,Tom Cruise,Nominee
133,2022,Actor In A Leading Role,The Banshees of Inisherin,Colin Farrell,Nominee
134,2022,Actor In A Leading Role,Aftersun,Paul Mescal,Nominee
135,2022,Actor In A Leading Role,Living,Bill Nighy,Nominee
0,1995,Actress In A Leading Role,To Die For ,Nicole Kidman,Winner
